"category_type","product_type","product_brand","product_rating","product_review","product_price"
"Vegetables","Carrot","FreshFarm","4.5","150","2.99"
"Vegetables","Carrot","Nature's Best","4.6","120","3.19"
"Vegetables","Carrot","VeggieWorld","4.4","100","2.79"
"Vegetables","Carrot","GreenLeaf","4.7","90","3.09"
"Vegetables","Carrot","FarmSelect","4.3","80","2.89"
"Vegetables","Broccoli","FreshFarm","4.6","110","3.49"
"Vegetables","Broccoli","Nature's Best","4.5","95","3.39"
"Vegetables","Broccoli","VeggieWorld","4.7","105","3.59"
"Vegetables","Broccoli","GreenLeaf","4.8","120","3.69"
"Vegetables","Broccoli","FarmSelect","4.4","80","3.29"
"Vegetables","Spinach","FreshFarm","4.4","85","2.79"
"Vegetables","Spinach","Nature's Best","4.5","90","2.99"
"Vegetables","Spinach","VeggieWorld","4.3","60","2.49"
"Vegetables","Spinach","GreenLeaf","4.6","75","2.89"
"Vegetables","Spinach","FarmSelect","4.2","55","2.69"
"Fruits","Apple","OrchardBest","4.7","200","3.49"
"Fruits","Apple","TropicFresh","4.8","180","3.69"
"Fruits","Apple","Nature's Best","4.6","170","3.39"
"Fruits","Apple","FreshFarm","4.5","150","3.29"
"Fruits","Apple","VineSweet","4.4","120","3.19"
"Fruits","Banana","OrchardBest","4.8","140","2.99"
"Fruits","Banana","TropicFresh","4.9","160","3.19"
"Fruits","Banana","Nature's Best","4.7","130","2.89"
"Fruits","Banana","FreshFarm","4.6","110","2.79"
"Fruits","Banana","VineSweet","4.5","100","2.69"
"Fruits","Blueberry","OrchardBest","4.5","95","4.49"
"Fruits","Blueberry","BerryGood","4.7","105","4.69"
"Fruits","Blueberry","Nature's Best","4.6","90","4.39"
"Fruits","Blueberry","FreshFarm","4.4","80","4.19"
"Fruits","Blueberry","VineSweet","4.3","70","3.99"
"Meats","Chicken Breast","FarmFresh","4.6","180","7.99"
"Meats","Chicken Breast","PrimeCuts","4.7","160","8.29"
"Meats","Chicken Breast","MeatMasters","4.5","140","7.79"
"Meats","Chicken Breast","TurkeyTime","4.4","120","7.59"
"Meats","Chicken Breast","LambLuxe","4.3","100","7.49"
"Meats","Pork Belly","FarmFresh","4.5","130","9.49"
"Meats","Pork Belly","PrimeCuts","4.6","120","9.79"
"Meats","Pork Belly","MeatMasters","4.4","110","9.29"
"Meats","Pork Belly","TurkeyTime","4.3","90","8.99"
"Meats","Pork Belly","LambLuxe","4.2","80","8.79"
"Meats","Beef Sirloin","FarmFresh","4.7","160","14.99"
"Meats","Beef Sirloin","PrimeCuts","4.8","170","15.49"
"Meats","Beef Sirloin","MeatMasters","4.6","150","14.79"
"Meats","Beef Sirloin","TurkeyTime","4.5","130","14.59"
"Meats","Beef Sirloin","LambLuxe","4.4","120","14.39"
"Dairy","Milk","DairyPure","4.4","120","4.29"
"Dairy","Milk","PureDairy","4.5","110","4.39"
"Dairy","Milk","CreamyGold","4.3","100","4.19"
"Dairy","Milk","CheeseCraft","4.2","90","4.09"
"Dairy","Milk","YogurtLand","4.1","80","3.99"
"Dairy","Cheddar Cheese","DairyPure","4.5","100","5.99"
"Dairy","Cheddar Cheese","PureDairy","4.6","95","6.19"
"Dairy","Cheddar Cheese","CreamyGold","4.4","90","5.79"
"Dairy","Cheddar Cheese","CheeseCraft","4.3","80","5.59"
"Dairy","Cheddar Cheese","YogurtLand","4.2","70","5.39"
"Dairy","Greek Yogurt","DairyPure","4.6","85","6.49"
"Dairy","Greek Yogurt","PureDairy","4.7","80","6.69"
"Dairy","Greek Yogurt","CreamyGold","4.5","75","6.29"
"Dairy","Greek Yogurt","CheeseCraft","4.4","70","6.09"
"Dairy","Greek Yogurt","YogurtLand","4.3","65","5.99"
"Bakery","Whole Wheat Bread","BakeHouse","4.3","90","3.99"
"Bakery","Whole Wheat Bread","ParisBakes","4.4","85","4.19"
"Bakery","Whole Wheat Bread","NewYorker","4.2","80","3.89"
"Bakery","Whole Wheat Bread","SweetTreats","4.1","75","3.79"
"Bakery","Whole Wheat Bread","ArtisanLoaf","4.0","70","3.69"
"Bakery","Croissant","BakeHouse","4.7","110","2.49"
